addressLine1,addressLine2,bathrooms,bedrooms,city,county,countyFips,createdDate,daysOnMarket,formattedAddress,history,id,lastSeenDate,latitude,listedDate,listingAgent,listingOffice,listingType,longitude,lotSize,mlsName,mlsNumber,price,propertyType,removedDate,squareFootage,state,stateFips,status,yearBuilt,zipCode
627 E 49th St,,2,5,Los Angeles,Los Angeles,037,2022-02-05T14:48:14.162Z,202,"627 E 49th St, Los Angeles, CA 90011","{'2024-08-22': {'event': 'Sale Listing', 'price': 675000, 'listingType': 'Standard', 'listedDate': '2024-08-22T00:00:00.000Z', 'removedDate': '2025-03-12T00:00:00.000Z', 'daysOnMarket': 202}}","627-E-49th-St,-Los-Angeles,-CA-90011",2025-03-11T12:37:36.651Z,33.998952,2024-08-22T00:00:00.000Z,"{'name': 'Fernando Reveles Torres', 'phone': '3238469741', 'email': 'fernandoreveles20@gmail.com'}","{'name': 'Goldcrest Realty', 'phone': '8004209070', 'email': 'bonnie@nationaloneloans.com'}",Standard,-118.264456,6700,CRMLS,SR24173932,675000,Multi-Family,2025-03-12T00:00:00.000Z,1758,CA,06,Inactive,1903,90011
1141 E 50th St,,4,6,Los Angeles,Los Angeles,037,2022-12-09T10:13:37.296Z,46,"1141 E 50th St, Los Angeles, CA 90011","{'2025-09-26': {'event': 'Sale Listing', 'price': 1190000, 'listingType': 'Standard', 'listedDate': '2025-09-26T00:00:00.000Z', 'removedDate': '2025-11-11T00:00:00.000Z', 'daysOnMarket': 46}}","1141-E-50th-St,-Los-Angeles,-CA-90011",2025-11-10T12:48:29.749Z,33.998279,2025-09-26T00:00:00.000Z,"{'name': 'Mazdak Sarehkhani', 'phone': '8186018215', 'email': 'msarehkhani@gmail.com'}","{'name': 'Mazdak Sarehkhani', 'phone': '8186018215', 'email': 'msarehkhani@gmail.com', 'website': 'www.prsrealty.com'}",Standard,-118.255436,5398,CRMLS,SR25221770,1190000,Multi-Family,2025-11-11T00:00:00.000Z,2100,CA,06,Inactive,1924,90011
275 E 43rd St,,1,3,San Bernardino,Los Angeles,037,2025-10-13T00:00:00.000Z,3,"275 E 43rd St, San Bernardino, CA 90011","{'2025-10-12': {'event': 'Sale Listing', 'price': 420000, 'listingType': 'Standard', 'listedDate': '2025-10-12T00:00:00.000Z', 'removedDate': '2025-10-15T00:00:00.000Z', 'daysOnMarket': 3}}","275-E-43rd-St,-San-Bernardino,-CA-90011",2025-10-14T05:30:08.600Z,34.005943,2025-10-12T00:00:00.000Z,"{'name': 'Miguel Rodriguez', 'phone': '9092410006', 'email': 'rpm.realestate@yahoo.com'}","{'name': 'Rpm Real Estate Services', 'phone': '9093933946'}",Standard,-118.268755,6750,CRMLS,TR25237257,420000,Single Family,2025-10-15T00:00:00.000Z,2062,CA,06,Inactive,1905,90011
275 E 43rd,,1,3,San Bernardino,Los Angeles,037,2025-10-12T00:00:00.000Z,1,"275 E 43rd, San Bernardino, CA 90011","{'2025-10-12': {'event': 'Sale Listing', 'price': 420000, 'listingType': 'Standard', 'listedDate': '2025-10-12T00:00:00.000Z', 'removedDate': '2025-10-13T00:00:00.000Z', 'daysOnMarket': 1}}","275-E-43rd,-San-Bernardino,-CA-90011",2025-10-12T05:48:13.469Z,34.005955,2025-10-12T00:00:00.000Z,"{'name': 'Miguel Rodriguez', 'phone': '9092410006', 'email': 'rpm.realestate@yahoo.com'}","{'name': 'Rpm Real Estate Services', 'phone': '9093933946'}",Standard,-118.268768,6750,CRMLS,TR25237257,420000,Single Family,2025-10-13T00:00:00.000Z,2062,CA,06,Inactive,1905,90011
731 E Jefferson Blvd,,7,7,Los Angeles,Los Angeles,037,2025-03-25T00:00:00.000Z,38,"731 E Jefferson Blvd, Los Angeles, CA 90011","{'2025-03-24': {'event': 'Sale Listing', 'price': 1200000, 'listingType': 'Standard', 'listedDate': '2025-03-24T00:00:00.000Z', 'removedDate': '2025-05-01T00:00:00.000Z', 'daysOnMarket': 38}}","731-E-Jefferson-Blvd,-Los-Angeles,-CA-90011",2025-04-30T14:06:00.105Z,34.015175,2025-03-24T00:00:00.000Z,"{'name': 'Danny Mahelka', 'phone': '3107776200', 'email': 'danny.mahelka@camoves.com', 'website': 'http://www.homesbydanny.com/'}","{'name': 'Coldwell Banker Realty', 'phone': '3107776200', 'email': 'tom.dunlap@camoves.com', 'website': 'https://www.coldwellbankerhomes.com//ca/beverly-hills/office/beverly-hills/oid_5145/'}",Standard,-118.264024,5430,TheMLSCLAW,25506847,1200000,Multi-Family,2025-05-01T00:00:00.000Z,3200,CA,06,Inactive,1955,90011
474 E 46th St,,6,10,Los Angeles,Los Angeles,037,2024-07-15T00:00:00.000Z,86,"474 E 46th St, Los Angeles, CA 90011","{'2024-07-14': {'event': 'Sale Listing', 'price': 1320000, 'listingType': 'Standard', 'listedDate': '2024-07-14T00:00:00.000Z', 'removedDate': '2024-10-08T00:00:00.000Z', 'daysOnMarket': 86}}","474-E-46th-St,-Los-Angeles,-CA-90011",2024-10-07T13:49:04.934Z,34.001315,2024-07-14T00:00:00.000Z,"{'name': 'Karla De Leon', 'phone': '5625222424', 'email': 'deleonka123@gmail.com'}","{'name': 'Popular Funding & Real Estate', 'phone': '5628610056'}",Standard,-118.267049,6097,CRMLS,DW24133347,1320000,Multi-Family,2024-10-08T00:00:00.000Z,3359,CA,06,Inactive,2012,90011
3215 Boaz St,,3,10,Los Angeles,Los Angeles,037,2024-03-01T00:00:00.000Z,599,"3215 Boaz St, Los Angeles, CA 90011","{'2024-04-19': {'event': 'Sale Listing', 'price': 850000, 'listingType': 'Standard', 'listedDate': '2024-04-19T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 599}}","3215-Boaz-St,-Los-Angeles,-CA-90011",2025-12-08T11:03:38.115Z,34.014282,2024-04-19T00:00:00.000Z,"{'name': 'George Gallardo', 'phone': '7143510820', 'email': 'georgegallardo2009@gmail.com'}","{'name': 'Timothy Perez, Broker', 'phone': '7143510820', 'email': 'timothyperez@gmail.com'}",Standard,-118.253325,5597,CRMLS,PW24078776,850000,Multi-Family,,2250,CA,06,Active,1903,90011
4070 S San Pedro St,,,3,Los Angeles,Los Angeles,037,2024-11-26T00:00:00.000Z,189,"4070 S San Pedro St, Los Angeles, CA 90011","{'2024-11-25': {'event': 'Sale Listing', 'price': 884999, 'listingType': 'Standard', 'listedDate': '2024-11-25T00:00:00.000Z', 'removedDate': '2025-06-02T00:00:00.000Z', 'daysOnMarket': 189}}","4070-S-San-Pedro-St,-Los-Angeles,-CA-90011",2025-06-01T13:17:22.700Z,34.009577,2024-11-25T00:00:00.000Z,"{'name': 'Tanya Barkhordar', 'phone': '8183242432', 'email': 'shansrealty@aol.com'}","{'name': 'Shans International Realty Bro', 'phone': '8183242432', 'email': 'shansrealty@aol.com'}",Standard,-118.268543,4878,CRMLS,SR24240151,884999,Multi-Family,2025-06-02T00:00:00.000Z,2282,CA,06,Inactive,1920,90011
854 E 50th St,,3,7,Los Angeles,Los Angeles,037,2024-02-29T00:00:00.000Z,148,"854 E 50th St, Los Angeles, CA 90011",,"854-E-50th-St,-Los-Angeles,-CA-90011",2024-07-24T12:56:13.112Z,33.997376,2024-02-28T00:00:00.000Z,,,,-118.260648,5259,,,699000,Multi-Family,2024-07-25T00:00:00.000Z,2758,CA,06,Inactive,1924,90011
625 E 49th St,,4,10,Los Angeles,Los Angeles,037,2022-11-29T09:52:16.072Z,405,"625 E 49th St, Los Angeles, CA 90011","{'2024-04-23': {'event': 'Sale Listing', 'price': 1148000, 'listingType': 'Standard', 'listedDate': '2024-04-23T00:00:00.000Z', 'removedDate': '2025-06-02T00:00:00.000Z', 'daysOnMarket': 405}}","625-E-49th-St,-Los-Angeles,-CA-90011",2025-06-01T11:41:27.415Z,33.998875,2024-04-23T00:00:00.000Z,"{'name': 'Jay Kang', 'phone': '2139236689', 'email': 'jaykang714@yahoo.com'}","{'name': 'Bestway Realty', 'phone': '5625773111'}",Standard,-118.264654,5489,CRMLS,PW24080691,1148000,Multi-Family,2025-06-02T00:00:00.000Z,3978,CA,06,Inactive,1948,90011
747 E 33rd St,,3,6,Los Angeles,Los Angeles,037,2023-11-28T00:00:00.000Z,141,"747 E 33rd St, Los Angeles, CA 90011","{'2024-07-30': {'event': 'Sale Listing', 'price': 949900, 'listingType': 'Standard', 'listedDate': '2024-07-30T00:00:00.000Z', 'removedDate': '2024-12-18T00:00:00.000Z', 'daysOnMarket': 141}}","747-E-33rd-St,-Los-Angeles,-CA-90011",2024-12-17T12:54:23.661Z,34.015794,2024-07-30T00:00:00.000Z,"{'name': 'Marlon A. Ramos', 'phone': '8183106999', 'email': 'marlon.ramos@kw.com'}","{'name': 'Luxury Collective', 'phone': '3109093464', 'website': 'https://luxurycollectiverealty.com/'}",Standard,-118.263029,5524,CRMLS,SR24153319,949900,Multi-Family,2024-12-18T00:00:00.000Z,3196,CA,06,Inactive,1902,90011
982 E 50th St,,7,14,Los Angeles,Los Angeles,037,2023-11-07T00:00:00.000Z,38,"982 E 50th St, Los Angeles, CA 90011","{'2024-12-21': {'event': 'Sale Listing', 'price': 1295000, 'listingType': 'Standard', 'listedDate': '2024-12-21T00:00:00.000Z', 'removedDate': '2025-01-28T00:00:00.000Z', 'daysOnMarket': 38}}","982-E-50th-St,-Los-Angeles,-CA-90011",2025-01-27T12:52:51.803Z,33.997326,2024-12-21T00:00:00.000Z,"{'name': 'Jimmi Weaver', 'phone': '3109684805', 'email': 'jimmi@maisonintl.com'}","{'name': 'Jimmi Weaver, Broker', 'phone': '3109684805'}",Standard,-118.258204,7524,TheMLSCLAW,24-468913,1295000,Multi-Family,2025-01-28T00:00:00.000Z,5503,CA,06,Inactive,1962,90011
488 E 47th St,,3,5,Los Angeles,Los Angeles,037,2022-01-25T14:46:22.976Z,57,"488 E 47th St, Los Angeles, CA 90011","{'2025-10-09': {'event': 'Sale Listing', 'price': 777000, 'listingType': 'Standard', 'listedDate': '2025-10-09T00:00:00.000Z', 'removedDate': '2025-12-05T00:00:00.000Z', 'daysOnMarket': 57}}","488-E-47th-St,-Los-Angeles,-CA-90011",2025-12-04T12:13:45.888Z,34.000408,2025-10-09T00:00:00.000Z,"{'name': 'Andrew C Lee', 'phone': '2135006870', 'email': 'aclee.aig@sbcglobal.net'}","{'name': 'Andrew C. Lee', 'phone': '2136251629'}",Standard,-118.266601,6117,TheMLSCLAW,25603897,777000,Multi-Family,2025-12-05T00:00:00.000Z,2473,CA,06,Inactive,1922,90011
4416 Crocker St,,2,3,Los Angeles,Los Angeles,037,2025-11-30T00:00:00.000Z,10,"4416 Crocker St, Los Angeles, CA 90011","{'2025-11-29': {'event': 'Sale Listing', 'price': 620000, 'listingType': 'Standard', 'listedDate': '2025-11-29T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 10}}","4416-Crocker-St,-Los-Angeles,-CA-90011",2025-12-08T12:09:25.455Z,34.0033,2025-11-29T00:00:00.000Z,"{'name': 'Sonia Velez', 'phone': '9513104090', 'email': 'soniavelez@kw.com', 'website': 'www.soniavelez.com'}","{'name': 'KELLER WILLIAMS REALTY', 'phone': '9512713000', 'email': 'klrw391@kw.com', 'website': 'www.kwcorona.com'}",Standard,-118.268456,3999,CRMLS,IG25257267,620000,Single Family,,1059,CA,06,Active,1909,90011
640 E 49th St,,4,8,Los Angeles,Los Angeles,037,2024-08-23T00:00:00.000Z,20,"640 E 49th St, Los Angeles, CA 90011","{'2024-08-23': {'event': 'Sale Listing', 'price': 885000, 'listingType': 'Standard', 'listedDate': '2024-08-23T00:00:00.000Z', 'removedDate': '2025-02-19T00:00:00.000Z', 'daysOnMarket': 180}, '2025-02-19': {'event': 'Sale Listing', 'price': 775000, 'listingType': 'Standard', 'listedDate': '2025-02-19T00:00:00.000Z', 'removedDate': '2025-03-11T00:00:00.000Z', 'daysOnMarket': 20}}","640-E-49th-St,-Los-Angeles,-CA-90011",2025-03-10T13:06:06.347Z,33.998336,2025-02-19T00:00:00.000Z,"{'name': 'Itzel Anaya', 'email': 'itsellswithitzel@gmail.com'}","{'name': 'Home Smart Realty Group', 'phone': '5629127770', 'email': 'sdaniele@realtygrouphs.com'}",Standard,-118.264174,8253,CRMLS,PW25036612,775000,Multi-Family,2025-03-11T00:00:00.000Z,2914,CA,06,Inactive,1957,90011
673 E 50th St,,4,4,Los Angeles,Los Angeles,037,2024-05-28T00:00:00.000Z,31,"673 E 50th St, Los Angeles, CA 90011",,"673-E-50th-St,-Los-Angeles,-CA-90011",2024-06-26T12:59:10.988Z,33.997886,2024-05-27T00:00:00.000Z,,,,-118.263513,8261,,,1059000,Multi-Family,2024-06-27T00:00:00.000Z,3972,CA,06,Inactive,1924,90011
4434 Crocker St,,1,3,Los Angeles,Los Angeles,037,2025-06-28T00:00:00.000Z,40,"4434 Crocker St, Los Angeles, CA 90011","{'2025-06-27': {'event': 'Sale Listing', 'price': 645000, 'listingType': 'Standard', 'listedDate': '2025-06-27T00:00:00.000Z', 'removedDate': '2025-08-06T00:00:00.000Z', 'daysOnMarket': 40}}","4434-Crocker-St,-Los-Angeles,-CA-90011",2025-08-05T12:47:07.509Z,34.002871,2025-06-27T00:00:00.000Z,"{'name': 'Olga Ramirez', 'phone': '3239970577', 'email': 'olgac21allstars@hotmail.com'}","{'name': 'CENTURY 21 Allstars', 'phone': '5628632121', 'email': 'info@c21allstars.com', 'website': 'http://www.c21allstars.com'}",Standard,-118.268455,4000,CRMLS,DW25144746,645000,Single Family,2025-08-06T00:00:00.000Z,852,CA,06,Inactive,1910,90011
731 E 33rd St,,5,8,Los Angeles,Los Angeles,037,2025-07-19T00:00:00.000Z,41,"731 E 33rd St, Los Angeles, CA 90011","{'2025-08-06': {'event': 'Sale Listing', 'price': 1550000, 'listingType': 'New Construction', 'listedDate': '2025-08-06T00:00:00.000Z', 'removedDate': '2025-09-16T00:00:00.000Z', 'daysOnMarket': 41}}","731-E-33rd-St,-Los-Angeles,-CA-90011",2025-09-15T12:52:02.772Z,34.016003,2025-08-06T00:00:00.000Z,"{'name': 'William C Turner Iii', 'phone': '8057083236', 'email': 'realtormontecito@gmail.com', 'website': 'ownmontecito.com'}","{'name': 'Douglas Elliman of California, Inc.', 'phone': '4242031800'}",New Construction,-118.263495,5227,SantaBarbara,25-2981,1550000,Single Family,2025-09-16T00:00:00.000Z,4200,CA,06,Inactive,2025,90011
1403 E 42nd St,,,,Los Angeles,Los Angeles,037,2020-09-22T02:00:45.521Z,58,"1403 E 42nd St, Los Angeles, CA 90011","{'2024-06-06': {'event': 'Sale Listing', 'price': 699000, 'listingType': 'Standard', 'listedDate': '2024-06-06T00:00:00.000Z', 'removedDate': '2024-11-29T00:00:00.000Z', 'daysOnMarket': 176}, '2025-10-08': {'event': 'Sale Listing', 'price': 700000, 'listingType': 'Standard', 'listedDate': '2025-10-08T00:00:00.000Z', 'removedDate': '2025-12-05T00:00:00.000Z', 'daysOnMarket': 58}}","1403-E-42nd-St,-Los-Angeles,-CA-90011",2025-12-04T12:14:45.230Z,34.006932,2025-10-08T00:00:00.000Z,"{'name': 'Niloofar Saeedabadi', 'phone': '9494829642', 'email': 'niloofar4homes@gmail.com'}","{'name': 'Coldwell Banker Realty - Newport Beach', 'phone': '9496441600', 'email': '900624.lead@leads.leadrouter.com', 'website': 'https://www.coldwellbankerhomes.com/ca/newport-beach/office/newport-beach/oid_5638/'}",Standard,-118.249318,5841,CRMLS,OC25235564,700000,Land,2025-12-05T00:00:00.000Z,,CA,06,Inactive,,90011
1403 E 42nd,,,,Los Angeles,Los Angeles,037,2025-10-09T00:00:00.000Z,43,"1403 E 42nd, Los Angeles, CA 90011","{'2025-10-08': {'event': 'Sale Listing', 'price': 700000, 'listingType': 'Standard', 'listedDate': '2025-10-08T00:00:00.000Z', 'removedDate': '2025-11-20T00:00:00.000Z', 'daysOnMarket': 43}}","1403-E-42nd,-Los-Angeles,-CA-90011",2025-11-19T12:34:42.922Z,34.006932,2025-10-08T00:00:00.000Z,"{'name': 'Niloofar Saeedabadi', 'phone': '9494829642', 'email': 'niloofar4homes@gmail.com'}","{'name': 'Coldwell Banker Realty - Newport Beach', 'phone': '9496441600', 'email': '900624.lead@leads.leadrouter.com', 'website': 'https://www.coldwellbankerhomes.com/ca/newport-beach/office/newport-beach/oid_5638/'}",Standard,-118.249318,5842,CRMLS,OC25235564,700000,Land,2025-11-20T00:00:00.000Z,,CA,06,Inactive,,90011
1220-1222 E 49th St,,2,3,Los Angeles,Los Angeles,037,2025-06-25T00:00:00.000Z,23,"1220-1222 E 49th St, Los Angeles, CA 90011","{'2025-06-25': {'event': 'Sale Listing', 'price': 450000, 'listingType': 'Standard', 'listedDate': '2025-06-25T00:00:00.000Z', 'removedDate': '2025-07-18T00:00:00.000Z', 'daysOnMarket': 23}}","1220-1222-E-49th-St,-Los-Angeles,-CA-90011",2025-07-17T14:14:59.315Z,33.998652,2025-06-25T00:00:00.000Z,"{'name': 'Erik Ruiz', 'phone': '3237227300', 'email': 'erikrealty@yahoo.com'}","{'name': 'Century 21 Realty Masters', 'phone': '3237227300', 'email': 'aruizhouses@yahoo.com', 'website': 'http://c21realtymasters.com/'}",Standard,-118.253618,6759,CRMLS,MB25141718,450000,Multi-Family,2025-07-18T00:00:00.000Z,1154,CA,06,Inactive,1901,90011
1375 E 46th St,,2,4,Los Angeles,Los Angeles,037,2022-06-25T17:54:57.826Z,237,"1375 E 46th St, Los Angeles, CA 90011","{'2025-02-27': {'event': 'Sale Listing', 'price': 780000, 'listingType': 'Standard', 'listedDate': '2025-02-27T00:00:00.000Z', 'removedDate': '2025-10-22T00:00:00.000Z', 'daysOnMarket': 237}}","1375-E-46th-St,-Los-Angeles,-CA-90011",2025-10-21T11:45:04.458Z,34.002316,2025-02-27T00:00:00.000Z,"{'name': 'Mike Pagan', 'phone': '5622918640', 'email': 'mikepagan.ca@gmail.com', 'website': 'https://www.mikepaganrealty.com/'}","{'name': 'Berkshire Hathaway H.S.C.P.', 'phone': '5624197531', 'email': 'brucemulhearn@prucarealty.com'}",Standard,-118.250374,5363,CRMLS,DW25041869,780000,Multi-Family,2025-10-22T00:00:00.000Z,1803,CA,06,Inactive,1909,90011
1259 E 49th St,,2,5,Los Angeles,Los Angeles,037,2024-07-20T00:00:00.000Z,48,"1259 E 49th St, Los Angeles, CA 90011",,"1259-E-49th-St,-Los-Angeles,-CA-90011",2024-09-05T13:38:05.447Z,33.99919,2024-07-20T00:00:00.000Z,"{'name': 'Gualverto Duran', 'phone': '3232537091', 'email': 'dduranc21@yahoo.com'}","{'name': 'United Real Estate Pacific States', 'phone': '5628628717', 'email': 'edmoreta@yahoo.com'}",Standard,-118.25283,3949,CRMLS,DW24149007,649000,Single Family,2024-09-06T00:00:00.000Z,1458,CA,06,Inactive,1908,90011
1321 E 48th St,,4,5,Los Angeles,Los Angeles,037,2024-10-24T00:00:00.000Z,44,"1321 E 48th St, Los Angeles, CA 90011","{'2024-10-23': {'event': 'Sale Listing', 'price': 939000, 'listingType': 'Standard', 'listedDate': '2024-10-23T00:00:00.000Z', 'removedDate': '2024-12-05T00:00:00.000Z', 'daysOnMarket': 43}, '2025-01-07': {'event': 'Sale Listing', 'price': 995000, 'listingType': 'Standard', 'listedDate': '2025-01-07T00:00:00.000Z', 'removedDate': '2025-02-20T00:00:00.000Z', 'daysOnMarket': 44}}","1321-E-48th-St,-Los-Angeles,-CA-90011",2025-02-19T13:19:00.567Z,34.000471,2025-01-07T00:00:00.000Z,"{'name': 'Aaron Jacobson', 'phone': '3107291559', 'email': 'aaron@lyonstahl.com'}","{'name': 'Lyon Stahl Investment Re, Inc.', 'phone': '3104259838', 'email': 'woodystahl@gmail.com'}",Standard,-118.25156,4989,CRMLS,SB25003293,995000,Multi-Family,2025-02-20T00:00:00.000Z,2292,CA,06,Inactive,1922,90011
415 E Vernon Ave,,2,3,Los Angeles,Los Angeles,037,2025-04-24T00:00:00.000Z,230,"415 E Vernon Ave, Los Angeles, CA 90011","{'2025-04-23': {'event': 'Sale Listing', 'price': 699000, 'listingType': 'Standard', 'listedDate': '2025-04-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 230}}","415-E-Vernon-Ave,-Los-Angeles,-CA-90011",2025-12-08T13:21:37.462Z,34.004141,2025-04-23T00:00:00.000Z,"{'name': 'Vilma Flores', 'phone': '5622606899', 'email': 'vflores@calhomesrealty.com'}","{'name': 'Calhomes Realty', 'phone': '7609007988', 'email': 'dflores70x7@yahoo.com'}",Standard,-118.269059,4818,CRMLS,DW25088349,699000,Multi-Family,,1641,CA,06,Active,1905,90011
1401 E 41st Pl,,3,4,Los Angeles,Los Angeles,037,2025-05-20T00:00:00.000Z,34,"1401 E 41st Pl, Los Angeles, CA 90011","{'2025-05-19': {'event': 'Sale Listing', 'price': 789950, 'listingType': 'Standard', 'listedDate': '2025-05-19T00:00:00.000Z', 'removedDate': '2025-06-22T00:00:00.000Z', 'daysOnMarket': 34}}","1401-E-41st-Pl,-Los-Angeles,-CA-90011",2025-06-21T14:32:40.390Z,34.008274,2025-05-19T00:00:00.000Z,"{'name': 'Carlos Villegas', 'phone': '6616197335', 'email': 'villegasrealestate@gmail.com', 'website': 'http://www.exprealty.com'}","{'name': 'eXp Realty of California Inc.', 'phone': '8888327179', 'email': 'ray@raymarquez.com', 'website': 'https://ca.exprealty.com/'}",Standard,-118.249317,4830,TheMLSCLAW,25540653,789950,Multi-Family,2025-06-22T00:00:00.000Z,1990,CA,06,Inactive,1910,90011
1325 48th,,4,5,Los Angeles,Los Angeles,037,2024-12-05T00:00:00.000Z,20,"1325 48th, Los Angeles, CA 90011","{'2024-12-05': {'event': 'Sale Listing', 'price': 939000, 'listingType': 'Standard', 'listedDate': '2024-12-05T00:00:00.000Z', 'removedDate': '2024-12-25T00:00:00.000Z', 'daysOnMarket': 20}}","1325-48th,-Los-Angeles,-CA-90011",2024-12-24T12:27:13.961Z,34.000404,2024-12-05T00:00:00.000Z,"{'name': 'Aaron Jacobson', 'phone': '3107291559', 'email': 'aaron@lyonstahl.com'}","{'name': 'Lyon Stahl Investment Re, Inc.', 'phone': '3104259838', 'email': 'woodystahl@gmail.com'}",Standard,-118.251556,4989,CRMLS,SB24244146,939000,Multi-Family,2024-12-25T00:00:00.000Z,2292,CA,06,Inactive,1930,90011
700 E 50th St,,1.5,3,Los Angeles,Los Angeles,037,2024-07-09T00:00:00.000Z,83,"700 E 50th St, Los Angeles, CA 90011","{'2024-07-09': {'event': 'Sale Listing', 'price': 574900, 'listingType': 'Standard', 'listedDate': '2024-07-09T00:00:00.000Z', 'removedDate': '2024-09-30T00:00:00.000Z', 'daysOnMarket': 83}}","700-E-50th-St,-Los-Angeles,-CA-90011",2024-09-29T13:39:36.421Z,33.997293,2024-07-09T00:00:00.000Z,"{'name': 'Venus Martinez', 'phone': '3233001000', 'email': 'venusm333@yahoo.com'}","{'name': 'Redfin Corporation', 'phone': '8779733346', 'email': 'accounting@redfin.com', 'website': 'www.redfin.com'}",Standard,-118.262851,7502,CRMLS,SB24134802,574900,Single Family,2024-09-30T00:00:00.000Z,1126,CA,06,Inactive,1922,90011
3640 Adair St,,3,7,Los Angeles,Los Angeles,037,2023-04-12T00:00:00.000Z,90,"3640 Adair St, Los Angeles, CA 90011","{'2024-09-20': {'event': 'Sale Listing', 'price': 888888, 'listingType': 'Standard', 'listedDate': '2024-09-20T00:00:00.000Z', 'removedDate': '2024-12-17T00:00:00.000Z', 'daysOnMarket': 88}, '2025-01-10': {'event': 'Sale Listing', 'price': 879000, 'listingType': 'Standard', 'listedDate': '2025-01-10T00:00:00.000Z', 'removedDate': '2025-04-10T00:00:00.000Z', 'daysOnMarket': 90}}","3640-Adair-St,-Los-Angeles,-CA-90011",2025-04-09T13:47:06.511Z,34.013009,2025-01-10T00:00:00.000Z,"{'name': 'Karl Ochoa', 'phone': '5625379226', 'email': 'kada-1@hotmail.com'}","{'name': 'Excellence RE Real Estate, Inc ', 'phone': '5629484553', 'email': 'broker@excellencere.com', 'website': 'www.excellencere.com'}",Standard,-118.267583,4800,CRMLS,DW25006854,879000,Multi-Family,2025-04-10T00:00:00.000Z,1898,CA,06,Inactive,1906,90011
1374 E 46th St,,3,6,Los Angeles,Los Angeles,037,2025-03-05T00:00:00.000Z,38,"1374 E 46th St, Los Angeles, CA 90011","{'2025-03-17': {'event': 'Sale Listing', 'price': 849990, 'listingType': 'Standard', 'listedDate': '2025-03-17T00:00:00.000Z', 'removedDate': '2025-04-24T00:00:00.000Z', 'daysOnMarket': 38}}","1374-E-46th-St,-Los-Angeles,-CA-90011",2025-04-23T14:00:17.088Z,34.001782,2025-03-17T00:00:00.000Z,"{'name': 'Robert Ross', 'phone': '7144937347', 'email': 'realtorrobross@gmail.com'}","{'name': 'eXp Realty of Southern CA', 'phone': '8882941415', 'email': 'ca.south@exprealty.net'}",Standard,-118.250375,5364,CRMLS,RS25058113,849990,Multi-Family,2025-04-24T00:00:00.000Z,1988,CA,06,Inactive,1924,90011
405 E Vernon Ave,,3,5,Los Angeles,Los Angeles,037,2024-07-20T00:00:00.000Z,48,"405 E Vernon Ave, Los Angeles, CA 90011",,"405-E-Vernon-Ave,-Los-Angeles,-CA-90011",2024-09-04T13:37:15.117Z,34.004133,2024-07-19T00:00:00.000Z,"{'name': 'Tamas Batyi', 'phone': '3232366450', 'email': 'tamas.batyi@compass.com'}","{'name': 'COMPASS', 'phone': '3102413038', 'email': 'leads@compass.com'}",Standard,-118.269323,4828,CRMLS,SB24148787,639000,Multi-Family,2024-09-05T00:00:00.000Z,1450,CA,06,Inactive,1905,90011
1409 E 41st Pl,,1,2,Los Angeles,Los Angeles,037,2022-03-30T15:11:20.820Z,56,"1409 E 41st Pl, Los Angeles, CA 90011","{'2025-07-12': {'event': 'Sale Listing', 'price': 700000, 'listingType': 'Standard', 'listedDate': '2025-07-12T00:00:00.000Z', 'removedDate': '2025-08-21T00:00:00.000Z', 'daysOnMarket': 40}, '2025-10-14': {'event': 'Sale Listing', 'price': 600000, 'listingType': 'Standard', 'listedDate': '2025-10-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 56}}","1409-E-41st-Pl,-Los-Angeles,-CA-90011",2025-12-08T14:07:55.941Z,34.008238,2025-10-14T00:00:00.000Z,"{'name': 'Tom Hernandez', 'phone': '8184322665', 'email': 'ctomsell@gmail.com', 'website': 'http://www.imarketla.com'}","{'name': 'Real Brokerage Technologies, I', 'phone': '6192486434', 'email': 'jasonlopez619@gmail.com'}",Standard,-118.249056,4831,CRMLS,SR25238926,600000,Single Family,,1176,CA,06,Active,1910,90011
